city_ID,city_CN,city_EN
113,鞍山市,Anshan
114,海城市,Haicheng
115,台安县,Taian County
116,岫岩满族自治县,Xiuyan Manchu Autonomous County
118,抚顺市,Fushun
120,清原满族自治县,Qingyuan Manchu Autonomous County
121,新宾满族自治县,Xinbin Manchu Autonomous County
122,章党镇,Zhangdang Town
124,本溪市,Benxi
125,本溪满族自治县,Benxi Manchu Autonomous County
126,桓仁满族自治县,Huanren Manchu Autonomous County
127,草河口镇,Caohekou Town
129,丹东市,Dandong
130,东港市,Donggang
131,凤城市,"Fengcheng, Dandong"
132,宽甸满族自治县,Kuandian Manchu Autonomous County
135,锦州市,"Jinzhou, Liaoning"
136,凌海市,Linghai
137,北镇市,Beizhen
138,黑山县,Heishan County
139,义县,"Yi County, Jinzhou"
142,营口市,Yingkou
143,盖州市,Gaizhou
144,大石桥市,Dashiqiao
146,阜新市,Fuxin
147,彰武县,Zhangwu County
150,辽阳市,Liaoyang
151,灯塔市,Dengta
152,辽阳县,Liaoyang County
154,盘锦市,Panjin
155,大洼区,Dawa District
156,盘山县,Panshan County
158,铁岭市,Tieling
160,开原市,"Kaiyuan, Tieling"
162,西丰县,"Xifeng County, Tieling"
163,昌图县,Changtu County
164,调兵山市,Diaobingshan
165,铁法,Tiefa
167,朝阳市,Chaoyang
168,北票市,Beipiao
169,凌源市,Lingyuan
171,建平镇,Jianping Town
172,喀喇沁左翼蒙古族自治县,Harqin Left Wing Mongolian Autonomous County
173,调兵山市羊山镇,"Yangshan Town, Diaobingshan"
174,建平县,Jianping County
176,葫芦岛市,Huludao
177,兴城市,Xingcheng
178,绥中县,Suizhong County
179,建昌县,Jianchang County
182,长春市,Changchun
183,双阳区,Shuangyang District
184,九台区,Jiutai District
185,榆树市,"Yushu, Changchun"
186,德惠市,Dehui
187,农安县,Nongan County
189,吉林市,Jilin
190,舒兰市,Shulan
191,桦甸市,Huadian
192,蛟河市,Jiaohe
193,磐石市,Panshi
194,永吉县,Yongji County
195,烟筒山,Yantongshan
197,四平市,Siping
198,公主岭市,Gongzhuling
199,双辽市,Shuangliao
200,梨树县,Lishu County
201,伊通满族自治县,Yitong Manchu Autonomous County
204,辽源市,Liaoyuan
205,东辽县,Dongliao County
206,东丰县,Dongfeng County
208,通化市,Tonghua
209,梅河口市,Meihekou
210,集安市,Ji'an
211,辉南县,Huinan County
212,通化县,Tonghua County
213,柳河县,Liuhe County
215,白山市,Baishan
216,靖宇县,Jingyu County
217,抚松县,Fusong County
218,长白朝鲜族自治县,Changbai Korean Autonomous County
219,东岗镇,Donggang Town
220,临江市,Linjiang
221,江源区,Jiangyuan District
223,白城市,Baicheng
224,洮南市,Taonan
225,大安市,Daan
226,镇赉县,Zhenlai County
227,通榆县,Tongyu County
229,松原市,Songyuan
231,扶余市,Fuyu
232,长岭县,Changling County
233,乾安县,Qian'an County
234,前郭尔罗斯蒙古族自治县,Qian Gorlos Mongolian Autonomous County
236,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture
237,延吉市,Yanji
238,图们市,Tumen
239,敦化市,Dunhua
240,龙井市,Longjing
241,珲春市,Hunchun
242,和龙市,Helong
243,安图县,Antu County
244,汪清县,Wangqing County
245,二道白河镇,Erdao Baihe Town
246,安图县松江镇,"Songjiang Town, Antu County"
247,罗子沟镇,Luozigou Town
250,哈尔滨市,Harbin
252,呼兰区,Hulan District
253,双城区,Shuangcheng District
254,尚志市,Shangzhi
255,五常市,Wuchang
256,阿城区,Acheng District
259,依兰县,Yilan County
260,方正县,Fangzheng County
261,宾县,"Bin County, Harbin"
262,巴彦县,Bayan County
263,木兰县,Mulan County
264,通河县,Tonghe County
265,延寿县,Yanshou County
267,齐齐哈尔市,Qiqihar
271,讷河市,Nehe
272,龙江县,Longjiang County
273,依安县,Yian County
274,泰来县,Taylor County
275,甘南县,Gannan County
276,富裕县,Fuyu County
277,克山县,Keshan County
278,克东县,Kedong County
279,拜泉县,Baiquan County
281,鸡西市,Jixi
287,虎林市,Hulin
288,密山市,Mishan
289,鸡东县,Jidong County
291,鹤岗市,Hegang
292,萝北县,Luobei County
293,绥滨县,Suibin County
295,双鸭山市,Shuangyashan
299,集贤县,Jixian County
300,宝清县,Baoqing County
301,饶河县,Raohe County
303,友谊县,Youyi County
305,大庆市,Daqing
310,肇源县,"Zhaoyuan, Daqing"
311,肇州县,Zhaozhou
312,林甸县,Lindian County
314,杜尔伯特蒙古族自治县,Dorbod Mongol Autonomous County
316,伊春市,"Yichun, Heilongjiang"
326,铁力市,Tieli
327,嘉荫县,Jiayin County
331,佳木斯市,Jiamusi
332,同江市,River City with
333,富锦市,Fujin
334,桦南县,Huanan County
335,桦川县,Huachuan County
336,汤原县,Tangyuan County
337,抚远市,Fuyuan
339,七台河市,Qitaihe
340,勃利县,Boli County
342,牡丹江市,Mudanjiang
343,穆棱市,Muling
344,绥芬河市,Suifenhe
345,海林市,Hailin
346,宁安市,Ning'an
347,东宁县,Dongning
348,林口县,Linkou County
351,黑河市,Heihe
353,北安市,Beian
354,五大连池市,Wudalianchi
355,嫩江市,Nenjiang City
356,逊克县,Xunke County
357,孙吴县,Sunwu County
359,绥化市,Suihua
360,安达市,Anda
361,肇东市,Zhaodong
362,海伦市,Hailun
363,望奎县,Wangkui County
364,兰西县,Lanxi County
365,青冈县,Qinggang County
366,庆安县,Qing'an County
367,明水县,Mingshui County
368,绥棱县,Suileng County
370,大兴安岭地区,Daxinganling
371,加格达奇区,Jiagedaqi District
372,呼玛县,Huma County
373,塔河县,Tahe County
374,漠河市,Mohe
375,呼中区,Huzhong District
376,新林区,Xinlin District
379,郑州市,Zhengzhou
380,上街区,Shangjie District
381,新郑市,Xinzheng
382,荥阳市,Xingyang
383,新密市,Xinmi
384,巩义市,Gongyi
385,登封市,Dengfeng
386,中牟县,Zhongmou County
388,开封市,Kaifeng
389,杞县,"Qi County, Kaifeng"
390,通许县,Tongxu County
391,尉氏县,Weishi County
392,兰考县,Lankao County
394,洛阳市,Luoyang
397,偃师区,YanShi
398,孟津县,Mengjin District
399,新安县,Xin'an County
400,栾川县,Luanchuan County
401,嵩县,Song County
402,汝阳县,Ruyang County
403,宜阳县,"Yiyang County, Luoyang"
404,洛宁县,Luoning County
405,伊川县,"Yichuan County, Luoyang"
407,平顶山市,Pingdingshan
408,舞钢市,"Wugang, Pingdingshan"
409,汝州市,Ruzhou
410,宝丰县,Baofeng County
411,叶县,Ye County
412,鲁山县,"Lushan County, Pingdingshan"
413,郏县,"Jia County, Pingdingshan"
414,石龙区,Shilong District
416,焦作市,Jiaozuo
419,沁阳市,Qinyang
420,孟州市,Mengzhou
421,修武县,Xiuwu County
422,博爱县,Boai County
423,武陟县,Wuzhi County
424,温县,"Wen County, Jiaozuo"
426,鹤壁市,Hebi
430,浚县,Xun County
431,淇县,"Qi County, Hebi"
433,新乡市,Xinxiang
435,卫辉市,Weihui
436,辉县市,Huixian
437,获嘉县,Huojia County
438,原阳县,"Yuanyang County, Xinxiang"
439,延津县,"Yanjin County, Xinxiang"
440,长垣市,ChangyuanCity
441,封丘县,Fengqiu County
443,安阳市,Anyang
444,林州市,Linzhou
445,汤阴县,Tangyin County
446,内黄县,Neihuang County
447,滑县,"Hua County, Henan"
449,濮阳市,Puyang
450,清丰县,Qingfeng County
451,南乐县,Nanle County
452,范县,Fan County
453,台前县,Taiqian County
456,许昌市,Xuchang
458,禹州市,Yuzhou
459,长葛市,Changge
461,鄢陵县,"Yanling County, Xuchang"
462,襄城县,Xiangcheng County
464,漯河市,Luohe
466,舞阳县,Wuyang County
467,临颍县,Linying County
469,三门峡市,Sanmenxia
470,义马市,Yima
471,灵宝市,Lingbao
472,陕州区,Shanzhou District
473,渑池县,Mianchi County
474,卢氏县,Lushi County
476,南阳市,Nanyang
477,邓州市,Dengzhou
478,南召县,Nanzhao County
479,方城县,Fangcheng County
480,镇平县,"Zhenping County, Nanyang"
481,社旗县,Sheqi County
482,唐河县,Tanghe County
483,新野县,Xinye County
484,内乡县,Neixiang County
485,西峡县,Xixia County
486,淅川县,Xichuan County
487,桐柏县,Tongbai County
489,商丘市,Shangqiu
492,永城市,Yongcheng
493,民权县,Minquan County
494,睢县,"Sui County, Shangqiu"
495,宁陵县,Ningling County
496,柘城县,Zhecheng County
497,虞城县,Yucheng County
498,夏邑县,Xiayi County
500,信阳市,Xinyang
502,罗山县,Luoshan County
503,光山县,Guangshan County
504,新县,Xin County
505,商城县,Shangcheng County
506,固始县,Gushi County
507,潢川县,Huangchuan County
508,淮滨县,Huaibin County
509,息县,"Xi County, Xinyang"
511,周口市,Zhoukou
513,项城市,Xiangcheng
514,扶沟县,Fugou County
515,西华县,Xihua County
516,商水县,Shangshui County
517,沈丘县,Shenqiu County
518,郸城县,Dancheng County
519,淮阳区,HuaiyangDistrict
520,太康县,Taikang County
521,鹿邑县,Luyi County
523,驻马店市,Zhumadian
524,西平县,Xiping County
525,上蔡县,Shangcai County
526,平舆县,Pingyu County
527,正阳县,Zhengyang County
528,确山县,Queshan County
529,泌阳县,Biyang County
530,汝南县,Runan County
531,遂平县,Suiping County
532,新蔡县,Xincai County
534,济源市,Jiyuan
537,武汉市,Wuhan
540,黄陂区,Huangpi District
541,新洲区,"Xinzhou District, Wuhan"
542,江夏区,Jiangxia District
543,蔡甸区,Caidian District
544,东西湖区,Dongxihu District
546,黄石市,Huangshi
547,大冶市,Daye
548,阳新县,Yangxin County
549,西塞山区,Xisaishan District
550,铁山区,Tieshan District
551,下陆区,Xialu District
553,襄阳市,Xiangyang
554,襄州区,"Xiangzhou District, Xiangyang"
555,枣阳市,Zaoyang
556,老河口市,Laohekou
557,宜城市,Yicheng
558,谷城县,"Gucheng County, Xiangyang"
559,保康县,Baokang County
560,南漳县,Nanzhang County
562,鄂州市,Ezhou
563,梁子湖区,Liangzihu District
565,十堰市,Shiyan
566,郧阳区,Yunyang District
567,郧西县,Yunxi County
568,竹山县,Zhushan County
569,竹溪县,Zhuxi County
570,房县,Fang County
571,丹江口市,Danjiangkou
572,张湾区,Zhangwan District
573,茅箭区,Maojian District
575,沙市区,Shashi District
576,石首市,Shishou
577,洪湖市,Honghu
578,松滋市,Songzi
579,公安县,Gongan County
580,监利市,Jianli City
581,江陵县,Jiangling County
582,荆州市,Jingzhou
584,宜昌市,Yichang
585,宜都市,Yidu
586,当阳市,Dangyang
587,枝江市,Zhijiang
588,远安县,Yuanan County
589,兴山县,Xingshan County
590,秭归县,Zigui County
591,长阳土家族自治县,Changyang Tujia Autonomous County
592,五峰土家族自治县,Wufeng Tujia Autonomous County
593,三峡大坝风景区,Three Gorges Scenic Area
595,夷陵区,Yiling District
597,荆门市,Jingmen
598,京山市,Jingshan
599,钟祥市,Zhongxiang
600,沙洋县,Shayang County
601,掇刀区,Duodao District
603,孝感市,Xiaogan
604,汉川市,Hanchuan
605,安陆市,Anlu
606,应城市,Yingcheng
607,大悟县,Dawu County
608,孝昌县,Xiaochang County
609,云梦县,Yunmeng County
611,黄冈市,Huanggang
612,麻城市,Macheng
613,武穴市,Wuxue
614,团风县,Tuanfeng County
615,红安县,Hongan County
616,罗田县,Luotian County
617,英山县,"Yingshan County, Huanggang"
618,浠水县,"Xishui County, Huanggang"
619,蕲春县,Qichun County
620,黄梅县,Huangmei County
622,咸宁市,Xianning
623,赤壁市,Chibi County
624,嘉鱼县,Jiayu County
625,通城县,Tongcheng County
626,崇阳县,Chongyang County
627,通山县,Tongshan County
629,随州市,Suizhou
630,广水市,Guangshui
632,恩施土家族苗族自治州,Enshi Tujia and Miao Autonomous Prefecture
633,利川市,Lichuan
634,建始县,Jianshi County
635,巴东县,Badong County
636,宣恩县,Xuan'en County
637,咸丰县,Xianfeng County
638,来凤县,LaifengCounty
639,鹤峰县,Hefeng County
641,仙桃市,Xiantao
643,潜江市,Qianjiang
645,天门市,Tianmen
647,神农架林区,Shennongjia 
650,长沙市,Changsha
651,浏阳市,Liuyang
653,望城区,Wangcheng District
654,宁乡市,Ningxiang
655,马坡岭街道,Mapoling Subdistrict
657,株洲市,Zhuzhou
658,醴陵市,Liling
660,攸县,You County
661,茶陵县,Chaling County
662,炎陵县,"Yanling County, Zhuzhou"
664,湘潭市,Xiangtan
665,湘乡市,Xiangxiang
667,韶山市,Shaoshan City
669,衡阳市,Hengyang
670,南岳区,Nanyue District
671,耒阳市,Leiyang
672,常宁市,Changning
673,衡阳县,Hengyang County
674,衡南县,Hengnan County
675,衡山县,Hengshan County
676,衡东县,Hengdong County
677,祁东县,Qidong County
679,邵阳市,Shaoyang
680,武冈市,"Wugang, Shaoyang"
681,邵东市,ShaodongCity
682,新邵县,Xinshao County
683,邵阳县,Shaoyang County
684,隆回县,Longhui County
685,洞口县,Dongkou County
686,绥宁县,"Suining County, Shaoyang"
687,新宁县,Xinning County
688,城步苗族自治县,Chengbu Miao Autonomous County
690,岳阳市,Yueyang
691,汨罗市,Miluo
692,临湘市,Linxiang
694,华容县,Huarong County
695,湘阴县,Xiangyin County
696,平江县,Pingjiang County
699,常德市,Changde
700,津市市,Jinshi
701,安乡县,Anxiang County
702,汉寿县,Hanshou County
703,临澧县,Linli County
704,澧县,"Li County, Changde"
705,桃源县,Taoyuan County
706,石门县,Shimen County
708,张家界市,Zhangjiajie
709,慈利县,Cili County
710,桑植县,Sangzhi County
711,武陵源区,Wulingyuan District
713,益阳市,Yiyang
714,沅江市,Yuanjiang
715,南县,Nan County
716,桃江县,Taojiang County
717,安化县,Anhua County
718,赫山区,"Heshan District, Yiyang"
720,郴州市,Chenzhou
721,资兴市,Zixing
722,桂阳县,Guiyang County
723,宜章县,Yizhang County
724,永兴县,Yongxing County
725,嘉禾县,Jiahe County
726,临武县,Linwu County
727,汝城县,Rucheng County
728,桂东县,Guidong County
729,安仁县,Anren County
730,苏仙区,Suxian District
732,永州市,Yongzhou
734,祁阳市,Qiyang
735,东安县,Dongan County
736,双牌县,Shuangpai County
737,道县,Dao County
738,江永县,Jiangyong County
739,宁远县,Ningyuan County
740,蓝山县,Lanshan County
741,新田县,Xintian County
742,江华瑶族自治县,Jianghua Yao Autonomous County
744,怀化市,Huaihua
745,沅陵县,Yuanling County
746,辰溪县,Chenxi County
747,溆浦县,Xupu County
748,中方县,Zhongfang County
749,会同县,Huitong County
750,麻阳苗族自治县,Mayang Miao Autonomous County
751,新晃侗族自治县,Sinko Dong Autonomous County
752,芷江侗族自治县,Zhijiang Dong Autonomous County
753,靖州苗族侗族自治县,Jingzhou Miao and Dong Autonomous County
754,通道侗族自治县,Tongdao Dong Autonomous County
756,娄底市,Loudi
757,冷水江市,Lengshuijiang
758,涟源市,Lianyuan
759,双峰县,Shuangfeng County
760,新化县,Xinhua County
761,冷水滩区,Lengshuitan District
763,吉首市,Jishou
764,泸溪县,Luxi County
765,凤凰县,Fenghuang County
766,花垣县,Huayuan County
767,保靖县,Baojing County
768,古丈县,Guzhang County
769,永顺县,Yongshun County
770,龙山县,Longshan County
772,黔阳,Qianyang County
773,洪江市,Hongjiang
776,南宁市,Nanning
777,邕宁区,Yongning District
778,武鸣区,Wuming District
779,隆安县,Longan County
780,马山县,Mashan County
781,上林县,Shanglin County
782,宾阳县,Binyang County
783,横州市,HengZhou
784,南宁城区,Nanning
785,江南区,Jiangnan District
787,柳州市,Liuzhou
788,柳江区,Liujiang District
789,柳城县,Liucheng County
790,鹿寨县,Luzhai County
791,融安县,Rongan County
792,融水苗族自治县,Rongshui Miao Autonomous County
793,三江侗族自治县,Sanjiang Dong Autonomous County
795,桂林市,Guilin
796,阳朔县,Yangshuo County
797,临桂区,Lingui District
798,灵川县,"Lingchuan County, Guilin"
799,平乐县,Pingle County
800,兴安县,Xing'an County
801,灌阳县,Guanyang County
802,荔浦市,Lipu
803,资源县,Ziyuan County
804,永福县,Yongfu County
805,龙胜各族自治县,Longsheng Various Nationalities Autonomous County
806,恭城瑶族自治县,Gongcheng Yao Autonomous County
807,全州县,Quanzhou County
809,梧州市,Wuzhou
810,岑溪市,Cenxi
811,苍梧县,Cangwu County
812,藤县,Teng County
813,蒙山县,Mengshan County
814,长洲区,Changzhou District
816,北海市,Beihai
817,合浦县,Hepu County
818,涠洲岛风景区,Weizhou Scenic Area
820,防城区,Fangcheng District
821,上思县,Shangsi County
822,防城港市,Fangchenggang
823,东兴市,Dongxing
825,贺州市,Hezhou
826,钟山县,Zhongshan County
827,昭平县,Zhaoping County
828,富川瑶族自治县,Fuchuan Yao Autonomous County
830,来宾市,Laibin
831,合山市,"Heshan, Laibin"
832,象州县,Xiangzhou County
833,武宣县,Wuxuan County
834,忻城县,Xincheng County
835,金秀瑶族自治县,Jinxiu Yao Autonomous County
837,贵港市,Guigang
838,桂平市,Guiping
839,平南县,"Pingnan County, Guigang"
841,玉林市,Yulin
842,北流市,Beiliu
843,容县,Rong County
844,陆川县,Luchuan County
845,博白县,Bobai County
846,兴业县,Xingye County
848,百色市,Baise
849,凌云县,Lingyun County
850,平果市,Pingguo City
851,西林县,Xilin County
852,乐业县,Leye County
853,德保县,Debao County
854,田林县,Tianlin County
855,田阳区,TianyangDistrict
856,靖西市,Jingxi
857,田东县,Tiandong County
858,那坡县,Napo County
859,隆林各族自治县,Longlin Various Nationalities Autonomous County
861,河池市,Hechi
862,宜州区,YizhouDistrict
863,天峨县,Tian'e County
864,凤山县,Fengshan County
865,南丹县,Nandan County
866,东兰县,Donglan County
867,都安瑶族自治县,Duan Yao Autonomous County
868,罗城仫佬族自治县,Luocheng Mulao Autonomous County
869,巴马瑶族自治县,Bama Yao Autonomous County
870,环江毛南族自治县,Huanjiang Maonan Autonomous County
871,大化瑶族自治县,Dahua Yao Autonomous County
873,钦州市,Qinzhou
874,灵山县,Lingshan County
875,浦北县,Pubei County
877,崇左市,Chongzuo
878,宁明县,Ningming County
879,扶绥县,Fusui County
880,龙州县,Longzhou County
881,大新县,Daxin County
882,天等县,Tiandeng County
883,凭祥市,"Pingxiang, Chongzuo"
886,广州市,Guangzhou
887,番禺区,Panyu District
888,花都区,Huadu District
889,增城区,Zengcheng District
890,从化区,Conghua District
892,深圳市,Shenzhen
895,珠海市,Zhuhai
896,斗门区,Doumen District
897,黄茅洲镇,Huangmaozhou Town
898,金湾区,Jinan District
900,汕头市,Shantou
901,潮阳区,"Chaoyang District, Shantou"
902,澄海区,Chenghai District
903,南澳县,Nan'ao County
905,韶关市,Shaoguan
906,曲江区,"Qujiang District, Shaoguan"
907,乐昌市,Lechang
908,南雄市,Nanxiong
909,始兴县,Shixing County
910,仁化县,Renhua County
911,翁源县,Wengyuan County
912,新丰县,"Xinfeng County, Shaoguan"
913,乳源瑶族自治县,Ruyuan Yao Autonomous County
914,浈江区,Zhenjiang District
915,武江区,"Wujiang District, Shaoguan"
917,佛山市,Foshan
918,顺德区,Shunde District
919,三水区,Sanshui District
920,高明区,Gaoming District
921,南海区,Nanhai District
923,江门市,Jiangmen
924,新会区,Xinhui District
925,台山市,Taishan
926,开平市,Kaiping
927,鹤山市,"Heshan, Jiangmen"
928,恩平市,Enping
929,上川岛风景区,Shangchuan Island Scenic Area
930,蓬江区,Pengjiang District
931,江海区,Jianghai District
933,茂名市,Maoming
934,高州市,Gaozhou
935,化州市,Huazhou
936,信宜市,"Xinyi, Maoming"
937,电白县（现电白区）,Dianbai County
938,电白区,Dianbai District
940,湛江市,Zhanjiang
941,廉江市,Lianjiang
942,雷州市,Leizhou
943,吴川市,Wuchuan
944,遂溪县,"Suixi County, Zhanjiang"
945,徐闻县,Xuwen County
946,麻章区,Mazhang District
947,坡头区,Potou District
948,赤坎区,Chikan District
949,霞山区,Xiashan District
951,肇庆市,Zhaoqing
952,高要区,Gaoyao District
953,四会市,Sihui
954,广宁县,Guangning County
955,怀集县,Huaiji County
956,封开县,Fengkai County
957,德庆县,Deqing County
959,惠州市,Huizhou
960,惠阳区,Huiyang District
961,博罗县,Boluo County
962,惠东县,"Huidong County, Huizhou"
963,龙门县,Longmen County
965,梅州市,Meizhou
966,兴宁市,Xingning
967,梅县区,Meixian District
968,大埔县,Dabu County
969,丰顺县,Fengshun County
970,五华县,Wuhua County
971,平远县,"Pingyuan County, Meizhou"
972,蕉岭县,Jiaoling County
974,汕尾市,Shanwei
975,陆丰市,Lufeng
976,海丰县,Haifeng County
977,陆河县,Luhe County
979,河源市,Heyuan
980,紫金县,Zijin County
981,龙川县,"Longchuan County, Heyuan"
982,连平县,Lianping County
983,和平县,Heping County
984,东源县,Dongyuan County
986,阳江市,Yangjiang
987,阳春市,Yangchun
988,阳西县,Yangxi County
989,阳东区,Yangdong District
991,清远市,Qingyuan
992,英德市,Yingde
993,连州市,Lianzhou
994,佛冈县,Fogang County
995,阳山县,Yangshan County
996,连山壮族瑶族自治县,Lianshan Zhuang and Yao Autonomous County
997,连南瑶族自治县,Liannan Yao Autonomous County
998,清新区,Qingxin District
1000,东莞市,Dongguan
1002,中山市,Zhongshan
1004,潮州市,Chaozhou
1005,饶平县,Raoping County
1006,潮安区,Chao District
1008,揭阳市,Jieyang
1009,普宁市,Puning
1010,揭西县,Jiexi County
1011,惠来县,Huilai County
1012,揭东区,Jiedong District
1014,云浮市,Yunfu
1015,罗定市,Luoding
1016,新兴县,Xinxing County
1017,郁南县,Yu'nan County
1018,云安区,Yun'an District
1020,海口市,Haikou
1022,三亚市,Sanya
1023,文昌市,Wenchang
1024,琼海市,Qionghai
1025,万宁市,Wanning
1026,东方市,Dongfang
1027,五指山市,Wuzhishan
1028,儋州市,Danzhou
1029,临高县,Lingao County
1030,澄迈县,Chengmai County
1031,定安县,Ding'an County
1032,屯昌县,Tunchang County
1033,昌江黎族自治县,Changjiang Li Autonomous County
1034,白沙黎族自治县,Baisha Li Autonomous County
1035,琼中黎族苗族自治县,Qiongzhong Li and Miao Autonomous County
1036,陵水黎族自治县,Lingshui Li Autonomous County
1037,保亭黎族苗族自治县,Baoting Li and Miao Autonomous County
1038,乐东黎族自治县,Ledong Li Autonomous County
1039,西沙群岛,Xisha District (Paracel Islands)
1040,南沙群岛,Nanette District (Spratly Islands)
1041,三沙市,Sansha
1045,南京市,Nanjing
1052,浦口区,Pukou District
1055,江宁区,Jiangning District
1056,六合区,Liuhe District
1057,溧水区,Lishui District
1058,高淳区,Gaochun District
1059,江浦,Jiangpu County
1061,无锡市,Wuxi
1066,锡山区,"Xishan District, Wuxi"
1068,江阴市,Jiangyin
1069,宜兴市,Yixing
1071,徐州市,Xuzhou
1077,新沂市,"Xinyi, Xuzhou"
1078,邳州市,Pizhou
1079,丰县,Feng County
1080,沛县,Pei County
1081,铜山区,Tongshan District
1082,睢宁县,"Suining County, Xuzhou"
1084,常州市,Changzhou
1089,武进区,Wujin District
1090,金坛市,Jintan District
1091,溧阳市,Liyang
1093,苏州市,"Suzhou, Jiangsu"
1098,吴中区,Wuzhong District
1100,常熟市,Changshu
1101,张家港市,Zhangjiagang
1102,昆山市,Kunshan
1103,吴江区,"Wujiang District, Suzhou"
1104,太仓市,Taicang
1105,东山镇,Dongshan Town
1106,吴县市（现吴中区、相城区）,Wuxian
1108,南通市,Nantong
1111,启东市,Qidong
1112,如皋市,Rugao
1113,南通市通州区,"Tongzhou District, Nantong"
1114,海门区,Haimen District
1115,海安市,Haian
1116,如东县,Rudong County
1119,连云港市,Lianyungang
1123,赣榆区,Ganyu District
1124,东海县,Donghai County
1125,灌云县,Guanyun County
1126,灌南县,Guannan County
1127,燕尾港,Yanweigang
1130,淮安市,Huaian
1133,楚州区（现淮安区）,Chuzhou District
1134,淮安区,Huaianqu
1135,涟水县,Lianshui County
1136,洪泽区,Hongze District
1137,盱眙县,Xuyi County
1138,金湖县,Jinhu County
1139,淮阴区,"Huaiyin District, Huaian"
1141,盐城市,Yancheng
1143,盐都区,Yandu District
1144,东台市,Dongtai
1145,大丰区,Dafeng District
1146,响水县,Xiangshui County
1147,滨海县,Binhai County
1148,阜宁县,"Funing County, Yancheng"
1149,射阳县,Sheyang County
1150,建湖县,Jianhu County
1152,扬州市,Yangzhou
1154,邗江区,"Hanjiang District, Yangzhou"
1156,仪征市,Yizheng
1157,高邮市,Gaoyou
1158,江都区,Jiangdu District
1159,宝应县,Baoying County
1161,镇江市,Zhenjiang
1164,丹徒区,Dantu
1165,丹阳市,Danyang
1166,扬中市,Yangzhong
1167,句容市,Jurong
1169,泰州市,"Taizhou, Jiangsu"
1172,兴化市,Xinghua
1173,靖江市,Jingjiang
1174,泰兴市,Taixing
1175,姜堰区,Jiangyan District
1177,宿迁市,Suqian
1179,宿豫区,Suyu District
1180,沭阳县,Shuyang County
1181,泗阳县,Siyang County
1182,泗洪县,Sihong County
1185,杭州市,Hangzhou
1186,萧山区,Xiaoshan District
1187,余杭区,Yuhang District
1188,建德市,Jiande
1189,富阳区,Fuyang District
1190,临安区,linanqu
1191,桐庐县,Tonglu County
1192,淳安县,Chunan County
